title,version,nYes,nNo,nCantDecide,propYes,propNo,propCantDecide,item,header,continuation
Vehicle Glass II,unambiguous_covered,37,3,0,0.925,0.075,0,Vehicle Glass,"Aneesh's car insurance policy includes coverage for ""Vehicle Glass"" damage, defined as <b>""broken glass, and any scratching to the bodywork caused solely and directly by broken glass.""</b>","Aneesh drives a convertible Porsche and parks his car one day in an outdoor parking lot. While his car is parked in the lot, a baseball from a nearby little league game hits his car's front windshield. When he returns, he discovers that the windshield has been severely damaged and that broken shards from the windshield managed to leave scratches on the car. Aneesh files a claim with his insurance company for the damage."
Vehicle Glass II,unambiguous_uncovered,2,26,0,0.07142857142857142,0.9285714285714286,0,Vehicle Glass,"Aneesh's car insurance policy includes coverage for ""Vehicle Glass"" damage, defined as <b>""broken glass, and any scratching to the bodywork caused solely and directly by broken glass.""</b>","Aneesh drives a convertible Porsche and parks his car one day in an outdoor parking lot. While his car is parked in the lot, a baseball from a nearby little league game hits his car's front hood. When he returns, he discovers that the hood has been severely damaged. Aneesh files a claim with his insurance company for the damage."
Vehicle Theft I,controversial,23,8,0,0.7419354838709677,0.25806451612903225,0,Vehicle Theft,"Gisele's car insurance policy includes coverage for ""Vehicle Theft,"" defined as <b>loss or damage as a result of theft to the policy holder's car or audio equipment (while in or on the car).""</b>","Gisele, who lives alone, goes on vacation and leaves her car in her home garage. However, surveillance footage captures a masked assailant breaking into Gisele's car and stealing her wireless Bluetooth headset. Gisele files a police report and a claim with her insurance company for her loss."
Vehicle Theft I,unambiguous_covered,23,0,1,0.9583333333333334,0,0.041666666666666664,Vehicle Theft,"Gisele's car insurance policy includes coverage for ""Vehicle Theft,"" defined as <b>loss or damage as a result of theft to the policy holder's car or audio equipment (while in or on the car).""</b>","Gisele, who lives alone, goes on vacation and leaves her car in her home garage. However, surveillance footage captures a masked assailant breaking into Gisele's car and stealing her car stereo. Gisele files a claim with her insurance company for the loss."
Vehicle Theft I,unambiguous_uncovered,5,23,0,0.17857142857142858,0.8214285714285714,0,Vehicle Theft,"Gisele's car insurance policy includes coverage for ""Vehicle Theft,"" defined as <b>loss or damage as a result of theft to the policy holder's car or audio equipment (while in or on the car).""</b>","Gisele, who lives alone, goes on vacation and leaves her car in her home garage. However, surveillance footage captures a masked assailant breaking into Gisele's car and stealing her briefcase, which contained her work laptop. Gisele files a claim with her insurance company for the loss."
Vehicle Theft IV,controversial,17,9,2,0.6071428571428571,0.32142857142857145,0.07142857142857142,Vehicle Theft,"Hunter's car insurance policy includes coverage for ""Vehicle Theft,"" defined as <b>loss or damage as a result of theft to the policy holder's car or car accessories (while in or on the car).""</b>","Hunter, who lives alone, goes on vacation and leaves his car in his home garage. However, surveillance footage captures a masked assailant breaking into his car and stealing a smartphone that Hunter leaves in the car for navigation and to play music. Hunter files a claim with his insurance company for the loss."
Vehicle Theft IV,unambiguous_covered,23,0,1,0.9583333333333334,0,0.041666666666666664,Vehicle Theft,"Hunter's car insurance policy includes coverage for ""Vehicle Theft,"" defined as <b>loss or damage as a result of theft to the policy holder's car or car accessories (while in or on the car).""</b>","Hunter, who lives alone, goes on vacation and leaves his car in his home garage. However, surveillance footage captures a masked assailant breaking into his car and stealing Hunter's very high-end seat covers. Hunter files a claim with his insurance company for the loss."
Vehicle Theft IV,unambiguous_uncovered,15,12,1,0.5357142857142857,0.42857142857142855,0.03571428571428571,Vehicle Theft,"Hunter's car insurance policy includes coverage for ""Vehicle Theft,"" defined as <b>loss or damage as a result of theft to the policy holder's car or car accessories (while in or on the car).""</b>","Hunter, who lives alone, goes on vacation and leaves his car in his home garage. However, surveillance footage captures a masked assailant breaking into his car and stealing several hundred dollars in bills that Hunter left in the car. Hunter files a claim with his insurance company for the loss."
Vehicle Theft V,controversial,13,10,0,0.5652173913043478,0.43478260869565216,0,Vehicle Theft,"Dillon's car insurance policy includes coverage for ""Vehicle Theft,"" which excludes <b>""loss or damage caused by theft or attempted theft if your car was taken by a member of your family or household, or taken by an employee or ex-employee.""</b>","Dillon, who has been separated from his wife for over two years, goes to work one day and parks his car in the garage. However, surveillance footage captures his estranged wife breaking into his car and driving away. Dillon files a claim with his insurance company for the loss."
Vehicle Theft V,unambiguous_covered,17,8,0,0.68,0.32,0,Vehicle Theft,"Dillon's car insurance policy includes coverage for ""Vehicle Theft,"" which excludes <b>""loss or damage caused by theft or attempted theft if your car was taken by a member of your family or household, or taken by an employee or ex-employee.""</b>","Dillon, who lives alone, goes on vacation and leaves his car in his home garage. However, surveillance footage captures an unfamiliar man breaking into his car and driving away. Dillon files a claim with his insurance company for the loss."
Vehicle Theft V,unambiguous_uncovered,10,17,0,0.37037037037037035,0.6296296296296297,0,Vehicle Theft,"Dillon's car insurance policy includes coverage for ""Vehicle Theft,"" which excludes <b>""loss or damage caused by theft or attempted theft if your car was taken by a member of your family or household, or taken by an employee or ex-employee.""</b>","Dillon, who employs a part-time personal assistant, goes on vacation and leaves his car in his home garage. However, surveillance footage captures his personal assistant breaking into his car and driving away. Dillon files a claim with his insurance company for the loss."
Vehicle Theft VI,controversial,12,11,2,0.48,0.44,0.08,Vehicle Theft,"Cooper's car insurance policy includes coverage for ""Vehicle Theft,"" which applies only if <b>""the policyholder's car contains a working GPS tracking device.""</b>","Cooper, who keeps a GPS-tracked smartphone in his car to play music and for navigation, goes on vacation and leaves his car in his home garage. However, surveillance footage captures a masked assailant breaking into his car and driving away. Cooper files a claim with his insurance company for the loss."
Vehicle Theft VI,unambiguous_covered,24,0,0,1,0,0,Vehicle Theft,"Cooper's car insurance policy includes coverage for ""Vehicle Theft,"" which applies only if <b>""the policyholder's car contains a working GPS tracking device.""</b>","Cooper, who keeps a GPS tracking device in his car, goes on vacation and leaves his car in his home garage. However, surveillance footage captures a masked assailant breaking into his car and driving away. Cooper files a claim with his insurance company for the loss."
Vehicle Theft VI,unambiguous_uncovered,0,22,0,0,1,0,Vehicle TheftVe,"Cooper's car insurance policy includes coverage for ""Vehicle Theft,"" which applies only if <b>""the policyholder's car contains a working GPS tracking device.""</b>","Cooper, who doesn't keep a GPS tracking device in his car, goes on vacation and leaves his car in his home garage. However, surveillance footage captures a masked assailant breaking into his car and driving away. Cooper files a claim with his insurance company for the loss."
Wind Damage,controversial,16,8,2,0.6153846153846154,0.3076923076923077,0.07692307692307693,Wind Damage,"Tom's home insurance policy includes coverage for ""Wind Damage,"" defined as <b>""damage from wind speeds with gusts of at least 55 mph.""</b>","Tom's house is located near a large lake. One day, strong winds in excess of 55mph blow across the lake, causing waves to crash into Tom's house and thereby damaging the roof. Tom files a claim with his insurance company for the damage."
Wind Damage,unambiguous_covered,26,0,0,1,0,0,Wind Damage,"Tom's home insurance policy includes coverage for ""Wind Damage,"" defined as <b>""damage from wind speeds with gusts of at least 55 mph.""</b>","Tom's house is located near a large lake. One day, strong winds in excess of 55mph blow across the lake and towards Tom's house, damaging the roof. Tom files a claim with his insurance company for the damage."
Wind Damage,unambiguous_uncovered,7,27,1,0.2,0.7714285714285715,0.02857142857142857,Wind Damage,"Tom's home insurance policy includes coverage for ""Wind Damage,"" defined as <b>""damage from wind speeds with gusts of at least 55 mph.""</b>","Tom's house is located near a large lake. One day, strong winds in excess of 55mph blow across the lake while Tom is working on his roof, but it's a loud and surprising ring from his cell phone that causes him to drop his heavy toolbox and thereby damage the roof. Tom files a claim with his insurance company for the damage."
