item,Title,version,header,continuation,name_gender,notes,locus_of_uncertainty,locus_of_uncertainty_location
Vehicle Theft,Vehicle Theft IV,unambiguous_uncovered,"Hunter's car insurance policy includes coverage for ""Vehicle Theft,"" defined as <b>loss or damage as a result of theft to the policy holder's car or car accessories (while in or on the car).""</b>","Hunter, who lives alone, goes on vacation and leaves his car in his home garage. However, surveillance footage captures a masked assailant breaking into his car and stealing several hundred dollars in bills that Hunter left in the car. Hunter files a claim with his insurance company for the loss. ",male,bills not an accessory,accessory,definition_exh
Vehicle Theft,Vehicle Theft IV,unambiguous_covered,"Hunter's car insurance policy includes coverage for ""Vehicle Theft,"" defined as <b>loss or damage as a result of theft to the policy holder's car or car accessories (while in or on the car).""</b>","Hunter, who lives alone, goes on vacation and leaves his car in his home garage. However, surveillance footage captures a masked assailant breaking into his car and stealing Hunter's very high-end seat covers. Hunter files a claim with his insurance company for the loss. ",male,seat covers definitely an accessory,accessory,definition_exh
Vehicle Theft,Vehicle Theft IV,controversial,"Hunter's car insurance policy includes coverage for ""Vehicle Theft,"" defined as <b>loss or damage as a result of theft to the policy holder's car or car accessories (while in or on the car).""</b>","Hunter, who lives alone, goes on vacation and leaves his car in his home garage. However, surveillance footage captures a masked assailant breaking into his car and stealing a smartphone that Hunter leaves in the car for navigation and to play music. Hunter files a claim with his insurance company for the loss. ",male,maybe an accessory?,accessory,definition_exh
Vehicle Theft,Vehicle Theft V,unambiguous_uncovered,"Dillon's car insurance policy includes coverage for ""Vehicle Theft,"" which excludes <b>""loss or damage caused by theft or attempted theft if your car was taken by a member of your family or household, or taken by an employee or ex-employee.""</b>","Dillon, who employs a part-time personal assistant, goes on vacation and leaves his car in his home garage. However, surveillance footage captures his personal assistant breaking into his car and driving away. Dillon files a claim with his insurance company for the loss. ",male,robber = definitely covered,family or employee,exclusion
Vehicle Theft,Vehicle Theft V,unambiguous_covered,"Dillon's car insurance policy includes coverage for ""Vehicle Theft,"" which excludes <b>""loss or damage caused by theft or attempted theft if your car was taken by a member of your family or household, or taken by an employee or ex-employee.""</b>","Dillon, who lives alone, goes on vacation and leaves his car in his home garage. However, surveillance footage captures an unfamiliar man breaking into his car and driving away. Dillon files a claim with his insurance company for the loss. ",male,employee = not covered,family or employee,exclusion
Vehicle Theft,Vehicle Theft V,controversial,"Dillon's car insurance policy includes coverage for ""Vehicle Theft,"" which excludes <b>""loss or damage caused by theft or attempted theft if your car was taken by a member of your family or household, or taken by an employee or ex-employee.""</b>","Dillon, who has been separated from his wife for over two years, goes to work one day and parks his car in the garage. However, surveillance footage captures his estranged wife breaking into his car and driving away. Dillon files a claim with his insurance company for the loss. ",male,estranged wife = maybe covered?,family or employee,exclusion
Vehicle TheftVe,Vehicle Theft VI,unambiguous_uncovered,"Cooper's car insurance policy includes coverage for ""Vehicle Theft,"" which applies only if <b>""the policyholder's car contains a working GPS tracking device.""</b>","Cooper, who doesn't keep a GPS tracking device in his car, goes on vacation and leaves his car in his home garage. However, surveillance footage captures a masked assailant breaking into his car and driving away. Cooper files a claim with his insurance company for the loss. ",male,"Tracking device, definite coverage",tracking device,exclusion
Vehicle Theft,Vehicle Theft VI,unambiguous_covered,"Cooper's car insurance policy includes coverage for ""Vehicle Theft,"" which applies only if <b>""the policyholder's car contains a working GPS tracking device.""</b>","Cooper, who keeps a GPS tracking device in his car, goes on vacation and leaves his car in his home garage. However, surveillance footage captures a masked assailant breaking into his car and driving away. Cooper files a claim with his insurance company for the loss. ",male,"No tracking device, no coverage",tracking device,exclusion
Vehicle Theft,Vehicle Theft VI,controversial,"Cooper's car insurance policy includes coverage for ""Vehicle Theft,"" which applies only if <b>""the policyholder's car contains a working GPS tracking device.""</b>","Cooper, who keeps a GPS-tracked smartphone in his car to play music and for navigation, goes on vacation and leaves his car in his home garage. However, surveillance footage captures a masked assailant breaking into his car and driving away. Cooper files a claim with his insurance company for the loss. ",male,"GPS-tracked smartphone, maybe counts?",tracking device,exclusion
Vehicle Glass,Vehicle Glass I,unambiguous_uncovered,"Ahmad's car insurance policy includes coverage for ""Vehicle Glass"" damage, defined as <b>""broken glass in the car's windows or windshield.""</b>","Ahmad drives a convertible Porsche and parks his car one day in an outdoor parking lot. While his car is parked in the lot, a baseball from a nearby little league game hits his car's front windshield. When he returns, he discovers a baseball near the car, and that the windshield appears fully intact save for a minor cosmetic scratch. Ahmad files a claim with his insurance company for the damage. ",male,No discernible damage = not covered,broken glass,definition_exh
Vehicle Glass,Vehicle Glass I,unambiguous_covered,"Ahmad's car insurance policy includes coverage for ""Vehicle Glass"" damage, defined as <b>""broken glass in the car's windows or windshield.""</b>","Ahmad drives a convertible Porsche and parks his car one day in an outdoor parking lot. While his car is parked in the lot, a baseball from a nearby little league game hits his car's front windshield. When he returns, he discovers the baseball on his windshield, which has been shattered beyond repair. Ahmad files a claim with his insurance company for the damage.",male,Heavy damage = definitely covered,broken glass,definition_exh
Vehicle Glass,Vehicle Glass I,controversial,"Ahmad's car insurance policy includes coverage for ""Vehicle Glass"" damage, defined as <b>""broken glass in the car's windows or windshield.""</b>","Ahmad drives a convertible Porsche and parks his car one day in an outdoor parking lot. While his car is parked in the lot, a baseball from a nearby little league game hits his car's front windshield. When he returns, he discovers a baseball near the car, and that the windshield appears chipped but otherwise functional and intact. Ahmad files a claim with his insurance company for the damage. ",male,"Light damage, could get worse, not yet 'broken' = covered?",broken glass,definition_exh
Vehicle Glass,Vehicle Glass II,unambiguous_uncovered,"Aneesh's car insurance policy includes coverage for ""Vehicle Glass"" damage, defined as <b>""broken glass, and any scratching to the bodywork caused solely and directly by broken glass.""</b>","Aneesh drives a convertible Porsche and parks his car one day in an outdoor parking lot. While his car is parked in the lot, a baseball from a nearby little league game hits his car's front hood. When he returns, he discovers that the hood has been severely damaged. Aneesh files a claim with his insurance company for the damage. ",male,Tail light not glass = not covered,glass,definition_exh
Vehicle Glass,Vehicle Glass II,unambiguous_covered,"Aneesh's car insurance policy includes coverage for ""Vehicle Glass"" damage, defined as <b>""broken glass, and any scratching to the bodywork caused solely and directly by broken glass.""</b>","Aneesh drives a convertible Porsche and parks his car one day in an outdoor parking lot. While his car is parked in the lot, a baseball from a nearby little league game hits his car's front windshield. When he returns, he discovers that the windshield has been severely damaged and that broken shards from the windshield managed to leave scratches on the car. Aneesh files a claim with his insurance company for the damage. ",male,Windscreen definitely glass = definitely covered,glass,definition_exh
Vehicle Glass,Vehicle Glass II,controversial,"Aneesh's car insurance policy includes coverage for ""Vehicle Glass"" damage, defined as <b>""broken glass, and any scratching to the bodywork caused solely and directly by broken glass.""</b>","Aneesh drives a convertible Porsche and parks his car one day in an outdoor parking lot. While his car is parked in the lot, a baseball from a nearby little league game hits one of his car's side mirrors. When he returns, he discovers that the side mirror has been severely damaged and that broken shards from the side mirror managed to leave scratches on the car. Aneesh files a claim with his insurance company for the damage.",male,Mirror = plausibly glass for purposes of insurance?,glass,definition_exh
